t(days)	RNP(psia2/cp-D/Mscf)
0.25	75060170.13547449
0.33040833333333336	91891126.49735856
0.4861958333333333	36621519.548307404
0.7977666666666666	72083898.13663657
1.4209083333333332	4695343.309827343
2.667195833333333	249890909.99705714
5.07725	8823611.225507181
9.897375	12257510.860110162
19.198041666666665	28241499.29160382
35.644875	23346507.916668877
66.05958333333334	47517202.506213784
124.99208333333333	241875918.90364352
188.99208333333334	292069448.44487447
252.99208333333334	32774808.609319534
316.99208333333337	126685220.61213213
380.9920833333333	163995003.37724078
444.9916666666666	19851324.558214903
508.9916666666666	312441841.33384037
572.9916666666667	163146215.9746791
636.9916666666667	67687047.68759921
700.9916666666667	194154136.0351366
764.9916666666667	118240033.64701241
828.9916666666667	193410788.10847607
892.9916666666667	128356932.61397581
956.9916666666667	25273336.86200525
1020.9916666666667	137751224.74883613
1084.9916666666666	370285720.61534154
1148.9916666666666	146559511.3371095
1212.9916666666666	150776299.6491076
1276.9916666666666	154882014.1625986
1340.9916666666666	158885436.30802172
1404.9916666666668	162794908.65718612
1468.9916666666668	166616873.85877645
1532.9916666666668	271391783.17546296
1596.9916666666668	320255297.47444427
1660.9916666666668	141385748.64021608
1724.9916666666668	116593263.6486122
1788.9916666666668	336853624.69788337
1852.9916666666668	175026549.8229873
1916.9916666666668	353552897.60765886
1980.9916666666668	194711345.23127073
2044.9916666666668	425451536.50868165
2108.991666666667	62460019.61000833
2172.991666666667	248121482.2141891
2236.991666666667	207544703.51001856
2300.991666666667	313545696.06609297
2364.991666666667	100275672.9604878
2428.991666666667	304153706.6113477
2492.991666666667	243010062.72498304
2556.991666666667	46985993.622769445
2620.991666666667	347914099.5876411
2684.991666666667	228761254.94517443
2748.991666666667	238411039.51542184
2812.991666666667	309082986.68494177
2876.991666666667	58020922.39800373
2940.991666666667	24597266.597371846
3004.991666666667	260730771.2723516
3068.991666666667	481751239.04441047
3132.991666666667	317724630.21119756
3196.991666666667	336203775.5535817
3260.991666666667	162815806.35645264
3324.991666666667	193301805.19573215
3388.991666666667	210115256.42486078
3452.991666666667	423144246.20626223
3516.991666666667	265897436.10927528
3580.991666666667	209536229.37444127
3650.0	146871412.11491287
3714.0	484140721.32961005
3778.0	277283602.12009203
3842.0	309405913.49496454
3906.0	172571876.08543015
3970.0	525961437.5675065
4034.0	3129847928.6724033
4098.0	553789941.3149291
4162.0	213413973.76210546
4226.0	296785908.07292485
4290.0	2158328181.1794333
4354.0	302369668.98874485
4418.0	2021973837.3806417
4482.0	2624956401.9388986
4546.0	310766807.18971515
4610.0	2375129962.010108
4674.0	992708028.7674038
4738.0	1631359330.3274999
4802.0	2663450475.178837
4866.0	77518490.76311356
4930.0	1270169588.9415388
4994.0	1032145875.7211831
5058.0	128377910.41171223
5122.0	237079310.08344638
5186.0	420907619.9776571
5250.0	2400099926.093311
5314.0	3087191256.410967
5378.0	679248811.1996908
5442.0	350547599.16987944
5506.0	2441515458.4542794
5570.0	1812460328.8091774
5634.0	1689017749.3438044
5698.0	362150131.0718024
5762.0	365070788.2935507
5826.0	1333680.4867411256
5890.0	2778375526.276027
5954.0	2419878978.637228
6018.0	376832388.5205003
6082.0	2636352139.7862244
6146.0	3017298945.041065
6210.0	385742709.46892184
6274.0	3161022029.3041844
6338.0	391725570.14173484
6402.0	1535152948.2490392
6466.0	397743901.4863828
6530.0	3202186039.462314
6594.0	403799320.9293648
6658.0	1150018761.986278
6722.0	3248966988.3147964
6786.0	1115580468.6443944
6850.0	416022700.89089435
6914.0	2261939720.2228236
6978.0	422191969.318306
7042.0	3218810500.00118
7106.0	128024269.16479856
7170.0	431517463.2993539
7234.0	1619469005.3757796
7300.0	1855146103.7340443
7364.0	1581341686.2922175
7428.0	1676819149.6984463
7492.0	2179078981.7855473
7556.0	2926059150.427319
7620.0	2970567688.9056525
7684.0	1130937955.189991
7748.0	3010329361.2323055
7812.0	2663426049.728963
7876.0	1783684122.890798
7940.0	1368970939.7654216
8004.0	473073726.3737058
8068.0	1702354910.4662297
8132.0	1321592991.3001442
8196.0	306088771.6951419
8260.0	3263101252.4818134
8324.0	489484934.54440796
8388.0	3058826112.8514676
8452.0	496125582.96100944
8516.0	1541169632.5967228
8580.0	2662890622.7668567
8644.0	3498402010.8884845
8708.0	1579585030.5455616
8772.0	512910635.6674675
8836.0	516302307.1107868
8900.0	1704907776.277865
8964.0	523116148.725815
9028.0	526537336.2699547
9092.0	3070458400.2301006
9156.0	2527007916.5863476
9220.0	1664219701.079813
9284.0	603124932.6413237
