t(days)	RNP(psia2/cp-D/Mscf)
0.25	214415316.50044033
0.33040833333333336	260895406.90950888
0.4861958333333333	2608864.801773951
0.7977666666666666	225429263.66133395
1.4209083333333332	26043982.352599803
2.667195833333333	156897870.55259436
5.07725	117846140.09240809
9.897375	248962447.58742765
19.198041666666665	17053913.505089376
35.644875	209600886.40136623
66.05958333333334	266638816.008364
124.99208333333333	79418433.88844857
188.99208333333334	85101408.66253084
252.99208333333334	64572087.22804955
316.99208333333337	67359140.3003681
380.9920833333333	179318168.8043685
444.9916666666666	296730495.46956855
508.9916666666666	94960250.1037196
572.9916666666667	145726956.1395844
636.9916666666667	160061900.72086707
700.9916666666667	138714964.7984387
764.9916666666667	306712750.5188828
828.9916666666667	368169151.2606778
892.9916666666667	21792090.043213427
956.9916666666667	248738598.63370335
1020.9916666666667	316616945.1408478
1084.9916666666666	142221620.88329086
1148.9916666666666	264177338.84212053
1212.9916666666666	413387735.155023
1276.9916666666666	154882014.1625986
1340.9916666666666	158885436.30802172
1404.9916666666668	162794908.65718612
1468.9916666666668	166616873.85877645
1532.9916666666668	378117310.0285015
1596.9916666666668	174024484.4587303
1660.9916666666668	377305289.0919658
1724.9916666666668	101578600.5715105
1788.9916666666668	271710719.0975724
1852.9916666666668	188037042.8047953
1916.9916666666668	429245428.9389684
1980.9916666666668	82141400.83376135
2044.9916666666668	366827369.8367448
2108.991666666667	350827793.07211363
2172.991666666667	204396026.01222086
2236.991666666667	264066963.00640506
2300.991666666667	379288939.2999777
2364.991666666667	459573901.96671224
2428.991666666667	87764335.32148945
2492.991666666667	288980003.21603686
2556.991666666667	222825336.34458113
2620.991666666667	225804125.6869851
2684.991666666667	145543680.33057868
2748.991666666667	231698187.59576446
2812.991666666667	451177677.459885
2876.991666666667	237519010.22201517
2940.991666666667	391955135.8557024
3004.991666666667	152540779.35115772
3068.991666666667	246137962.7747928
3132.991666666667	18606637.831772834
3196.991666666667	254998006.25361377
3260.991666666667	63791887.35514957
3324.991666666667	102905254.63661921
3388.991666666667	18861392.204402506
3452.991666666667	263095263.82945153
3516.991666666667	397079760.1255803
3580.991666666667	231887453.1982655
3650.0	350370817.49771315
3714.0	52870949.436045766
3778.0	227470624.27810147
3842.0	148779312.43046653
3906.0	365180774.93757486
3970.0	248448094.63777748
4034.0	288424511.00431275
4098.0	291210423.4233365
4162.0	293997733.4407506
4226.0	296785908.07292485
4290.0	299576357.2538301
4354.0	302369668.98874485
4418.0	305165523.374914
4482.0	307964641.9676603
4546.0	310766807.18971515
4610.0	313573941.2485879
4674.0	316384920.3660676
4738.0	319200765.7977119
4802.0	322021495.22140443
4866.0	324847162.104427
4930.0	327677857.4098492
4994.0	330514885.0612758
5058.0	333357283.00328684
5122.0	336206480.25779885
5186.0	339060327.52895206
5250.0	341921580.3480016
5314.0	344790655.7024004
5378.0	347665424.54176015
5442.0	350547599.16987944
5506.0	353436347.3857875
5570.0	356334897.29313457
5634.0	359238392.2972292
5698.0	362150131.0718024
5762.0	365070788.2935507
5826.0	367999646.0533107
5890.0	370934479.3843298
5954.0	373880449.78449535
6018.0	376832388.5205003
6082.0	379794111.82235944
6146.0	382763401.0183122
6210.0	385742709.46892184
6274.0	388728167.0547055
6338.0	391725570.14173484
6402.0	394731047.9447139
6466.0	397743901.4863828
6530.0	400766857.2159577
6594.0	403799320.9293648
6658.0	406840674.9565253
6722.0	409893888.2770246
6786.0	412952960.76070493
6850.0	416022700.89089435
6914.0	419102560.3952134
6978.0	422191969.318306
7042.0	425290335.70223016
7106.0	428399017.1894345
7170.0	431517463.2993539
7234.0	434645102.3892468
7300.0	437882267.2112007
7364.0	441030036.2245989
7428.0	444187347.2013509
7492.0	447357933.14076734
7556.0	450534846.66372013
7620.0	453724022.9539432
7684.0	456922776.4247508
7748.0	460132826.8299062
7812.0	463351387.9400018
7876.0	466582543.2489166
7940.0	469823501.2716356
8004.0	473073726.3737058
8068.0	476332663.6456929
8132.0	479607153.0831864
8196.0	482889389.4954453
8260.0	486181301.1774782
8324.0	489484934.54440796
8388.0	492799847.9522006
8452.0	496125582.96100944
8516.0	499461664.078591
8580.0	502807598.51110023
8644.0	506165628.72217983
8708.0	509532547.25745326
8772.0	512910635.6674675
8836.0	516302307.1107868
