t(days)	RNP(psia2/cp-D/Mscf)
0.25	1361579.6320402352
0.33040833333333336	127919974.35803343
0.4861958333333333	2608864.801773951
0.7977666666666666	3478161.411016568
1.4209083333333332	4695343.309827343
2.667195833333333	7731043.432088621
5.07725	147372811.89906633
9.897375	180361137.89687788
19.198041666666665	157095090.34805757
35.644875	23346507.916668877
66.05958333333334	111928124.17766339
124.99208333333333	231691686.4265639
188.99208333333334	65327755.34427013
252.99208333333334	64572087.22804955
316.99208333333337	263652394.3011629
380.9920833333333	140895842.0584555
444.9916666666666	148283724.89947078
508.9916666666666	321118985.93628544
572.9916666666667	277661850.66325486
636.9916666666667	200940012.26429328
700.9916666666667	112852915.40841524
764.9916666666667	118240033.64701241
828.9916666666667	131206868.57670908
892.9916666666667	152730824.84139276
956.9916666666667	241338761.72617084
1020.9916666666667	170962612.3344101
1084.9916666666666	201230881.3201207
1148.9916666666666	24799829.849046275
1212.9916666666666	150776299.6491076
1276.9916666666666	150794649.26630145
1340.9916666666666	104489666.95888984
1404.9916666666668	308156635.0479996
1468.9916666666668	359941326.86384594
1532.9916666666668	99208307.63428281
1596.9916666666668	174024484.4587303
1660.9916666666668	391174342.8121793
1724.9916666666668	181151898.88860813
1788.9916666666668	100362977.88670926
1852.9916666666668	284659513.4216449
1916.9916666666668	95189596.58731268
1980.9916666666668	449482082.1384381
2044.9916666666668	197978065.31873927
2108.991666666667	359473314.38772655
2172.991666666667	134614634.92370296
2236.991666666667	414754235.3844875
2300.991666666667	210659269.27538726
2364.991666666667	237337426.6356445
2428.991666666667	119686476.88452631
2492.991666666667	448339641.37823653
2556.991666666667	148105512.8103474
2620.991666666667	225804125.6869851
2684.991666666667	228761254.94517443
2748.991666666667	378100464.8976028
2812.991666666667	234744179.0448532
2876.991666666667	482404293.03401494
2940.991666666667	179039430.40463957
3004.991666666667	74268254.46038851
3068.991666666667	359088285.33987486
3132.991666666667	444190376.99582905
3196.991666666667	464639305.6293918
3260.991666666667	250926514.11812088
3324.991666666667	75258375.18013734
3388.991666666667	52437817.470410734
3452.991666666667	262399349.3246286
3516.991666666667	265897436.10927528
3580.991666666667	61006678.5152331
3650.0	143644868.25835797
3714.0	500079811.60590005
3778.0	277283602.12009203
3842.0	280069713.6833629
3906.0	257653729.6033252
3970.0	291854890.5297066
4034.0	288424511.00431275
4098.0	2990673423.6243343
4162.0	2983894112.221101
4226.0	1594225637.0822878
4290.0	299576357.2538301
