t	Reservoir_p	bhp	Reservoir_m(p)	Downhole_m(p)	Delta_m(p)
0.000000	5000.000000	5000.330000	937412362.450065	937477522.364222	-65159.914157
0.250000	4985.350000	300.000000	937412362.450065	6715497.606019	930696864.844046
0.330408	4982.340000	300.000000	937412362.450065	6715497.606019	930696864.844046
0.486196	4977.850000	300.000000	937412362.450065	6715497.606019	930696864.844046
0.797767	4971.030000	300.000000	937412362.450065	6715497.606019	930696864.844046
1.420908	4960.860000	300.000000	937412362.450065	6715497.606019	930696864.844046
2.667196	4945.920000	300.000000	937412362.450065	6715497.606019	930696864.844046
5.077250	4924.920000	300.000000	937412362.450065	6715497.606019	930696864.844046
9.897375	4894.700000	300.000000	937412362.450065	6715497.606019	930696864.844046
19.198042	4852.840000	300.000000	937412362.450065	6715497.606019	930696864.844046
35.644875	4798.840000	300.000000	937412362.450065	6715497.606019	930696864.844046
66.059583	4725.680000	300.000000	937412362.450065	6715497.606019	930696864.844046
124.992083	4622.650000	300.000000	937412362.450065	6715497.606019	930696864.844046
188.992083	4533.870000	300.000000	937412362.450065	6715497.606019	930696864.844046
252.992083	4458.560000	300.000000	937412362.450065	6715497.606019	930696864.844046
316.992083	4392.150000	300.000000	937412362.450065	6715497.606019	930696864.844046
380.992083	4332.150000	300.000000	937412362.450065	6715497.606019	930696864.844046
444.991667	4277.020000	300.000000	937412362.450065	6715497.606019	930696864.844046
508.991667	4225.770000	300.000000	937412362.450065	6715497.606019	930696864.844046
572.991667	4177.670000	300.000000	937412362.450065	6715497.606019	930696864.844046
636.991667	4132.220000	300.000000	937412362.450065	6715497.606019	930696864.844046
700.991667	4089.020000	300.000000	937412362.450065	6715497.606019	930696864.844046
764.991667	4047.780000	300.000000	937412362.450065	6715497.606019	930696864.844046
828.991667	4008.260000	300.000000	937412362.450065	6715497.606019	930696864.844046
892.991667	3970.270000	300.000000	937412362.450065	6715497.606019	930696864.844046
956.991667	3933.640000	300.000000	937412362.450065	6715497.606019	930696864.844046
1020.991667	3898.250000	300.000000	937412362.450065	6715497.606019	930696864.844046
1084.991667	3863.980000	300.000000	937412362.450065	6715497.606019	930696864.844046
1148.991667	3830.750000	300.000000	937412362.450065	6715497.606019	930696864.844046
1212.991667	3798.470000	300.000000	937412362.450065	6715497.606019	930696864.844046
1276.991667	3767.080000	300.000000	937412362.450065	6715497.606019	930696864.844046
1340.991667	3736.520000	300.000000	937412362.450065	6715497.606019	930696864.844046
1404.991667	3706.720000	300.000000	937412362.450065	6715497.606019	930696864.844046
1468.991667	3677.660000	300.000000	937412362.450065	6715497.606019	930696864.844046
1532.991667	3649.280000	300.000000	937412362.450065	6715497.606019	930696864.844046
1596.991667	3621.550000	300.000000	937412362.450065	6715497.606019	930696864.844046
1660.991667	3594.430000	300.000000	937412362.450065	6715497.606019	930696864.844046
1724.991667	3567.890000	300.000000	937412362.450065	6715497.606019	930696864.844046
1788.991667	3541.920000	300.000000	937412362.450065	6715497.606019	930696864.844046
1852.991667	3516.480000	300.000000	937412362.450065	6715497.606019	930696864.844046
1916.991667	3491.540000	300.000000	937412362.450065	6715497.606019	930696864.844046
1980.991667	3467.090000	300.000000	937412362.450065	6715497.606019	930696864.844046
2044.991667	3443.120000	300.000000	937412362.450065	6715497.606019	930696864.844046
2108.991667	3419.530000	300.000000	937412362.450065	6715497.606019	930696864.844046
2172.991667	3396.380000	300.000000	937412362.450065	6715497.606019	930696864.844046
2236.991667	3373.640000	300.000000	937412362.450065	6715497.606019	930696864.844046
2300.991667	3351.320000	300.000000	937412362.450065	6715497.606019	930696864.844046
2364.991667	3329.380000	300.000000	937412362.450065	6715497.606019	930696864.844046
2428.991667	3307.820000	300.000000	937412362.450065	6715497.606019	930696864.844046
2492.991667	3286.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
2556.991667	3265.780000	300.000000	937412362.450065	6715497.606019	930696864.844046
2620.991667	3245.280000	300.000000	937412362.450065	6715497.606019	930696864.844046
2684.991667	3225.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
2748.991667	3205.260000	300.000000	937412362.450065	6715497.606019	930696864.844046
2812.991667	3185.720000	300.000000	937412362.450065	6715497.606019	930696864.844046
2876.991667	3166.480000	300.000000	937412362.450065	6715497.606019	930696864.844046
2940.991667	3147.540000	300.000000	937412362.450065	6715497.606019	930696864.844046
3004.991667	3128.890000	300.000000	937412362.450065	6715497.606019	930696864.844046
3068.991667	3110.510000	300.000000	937412362.450065	6715497.606019	930696864.844046
3132.991667	3092.400000	300.000000	937412362.450065	6715497.606019	930696864.844046
3196.991667	3074.550000	300.000000	937412362.450065	6715497.606019	930696864.844046
3260.991667	3056.960000	300.000000	937412362.450065	6715497.606019	930696864.844046
3324.991667	3039.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
3388.991667	3022.530000	300.000000	937412362.450065	6715497.606019	930696864.844046
3452.991667	3005.660000	300.000000	937412362.450065	6715497.606019	930696864.844046
3516.991667	2989.030000	300.000000	937412362.450065	6715497.606019	930696864.844046
3580.991667	2972.630000	300.000000	937412362.450065	6715497.606019	930696864.844046
3650.000000	2955.190000	300.000000	937412362.450065	6715497.606019	930696864.844046
3714.000000	2939.230000	300.000000	937412362.450065	6715497.606019	930696864.844046
3778.000000	2923.490000	300.000000	937412362.450065	6715497.606019	930696864.844046
3842.000000	2907.950000	300.000000	937412362.450065	6715497.606019	930696864.844046
3906.000000	2892.600000	300.000000	937412362.450065	6715497.606019	930696864.844046
3970.000000	2877.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
4034.000000	2862.500000	300.000000	937412362.450065	6715497.606019	930696864.844046
4098.000000	2847.730000	300.000000	937412362.450065	6715497.606019	930696864.844046
4162.000000	2833.140000	300.000000	937412362.450065	6715497.606019	930696864.844046
4226.000000	2818.730000	300.000000	937412362.450065	6715497.606019	930696864.844046
4290.000000	2804.500000	300.000000	937412362.450065	6715497.606019	930696864.844046
4354.000000	2790.430000	300.000000	937412362.450065	6715497.606019	930696864.844046
4418.000000	2776.540000	300.000000	937412362.450065	6715497.606019	930696864.844046
4482.000000	2762.800000	300.000000	937412362.450065	6715497.606019	930696864.844046
