PVT_p	PVT_m(p)
14.695900	15969.016141
24.695900	45122.836675
34.695900	89113.716047
44.695900	147962.408966
54.695900	221687.113271
64.695900	310305.292145
74.695900	413829.151638
84.695900	532275.991556
94.695900	665659.466975
104.696000	813981.914007
114.696000	977264.805039
124.696000	1155505.011246
134.696000	1348715.665906
144.696000	1556902.515354
154.696000	1780069.912307
164.696000	2018220.817800
174.696000	2271373.462803
184.696000	2539496.669129
194.696000	2822624.726807
204.696000	3120738.716982
214.696000	3433856.632103
224.696000	3761932.243541
234.696000	4105038.841713
244.696000	4463081.904628
254.696000	4836124.166175
264.696000	5224154.360429
274.696000	5627133.512232
284.696000	6045099.557814
294.696000	6477982.500902
304.696000	6925786.243581
314.696000	7388588.420511
324.696000	7866284.593306
334.696000	8358848.069723
344.696000	8866340.391393
354.696000	9388734.282089
364.696000	9926017.825938
374.696000	10478113.289104
384.696000	11045076.685968
394.696000	11626811.282686
404.696000	12223454.798259
414.696000	12834818.743029
424.696000	13460886.919081
434.696000	14101832.969046
444.696000	14757426.254016
454.696000	15427744.156132
464.696000	16112782.997099
474.696000	16812403.138298
484.696000	17526784.827538
494.696000	18255713.586582
504.696000	18999095.728223
514.696000	19757212.421282
524.696000	20529888.748103
534.696000	21316968.913752
544.696000	22118546.824392
554.696000	22934594.925793
564.696000	23764915.708413
574.696000	24609812.746411
584.696000	25468938.517471
594.696000	26342593.737607
604.696000	27230379.028492
614.696000	28132243.919355
624.696000	29048578.590941
634.696000	29979096.274027
644.696000	30923606.336888
654.696000	31882440.269613
664.696000	32855184.880292
674.696000	33841953.923174
684.696000	34842780.554071
694.696000	35857302.260073
704.696000	36886052.455126
714.696000	37928403.641683
724.696000	38984920.234449
734.696000	40054940.699489
744.696000	41138729.856788
754.696000	42236245.604647
764.696000	43347445.199997
774.696000	44472238.000667
784.696000	45610673.276328
794.696000	46762285.230669
804.696000	47927718.784707
814.696000	49106217.075190
824.696000	50298510.868909
834.696000	51503757.141117
844.696000	52722244.834029
854.696000	53953978.935679
864.696000	55198910.205757
874.696000	56456988.820309
884.696000	57728102.564504
894.696000	59011853.414757
904.696000	60308928.723026
914.696000	61618451.365214
924.696000	62941336.725616
934.696000	64276474.063807
944.696000	65624364.442234
954.696000	66985410.853635
964.696000	68358578.000473
974.696000	69744254.432164
984.696000	71142455.853615
994.696000	72553047.159766
1004.700000	73976555.265867
1014.700000	75411314.759678
1024.700000	76858781.553570
1034.700000	78318389.386610
1044.700000	79790160.148860
1054.700000	81273309.284181
1064.700000	82769033.344507
1074.700000	84276073.250184
1084.700000	85795003.856838
1094.700000	87326160.003966
1104.700000	88868498.244461
1114.700000	90422434.160154
1124.700000	91988514.355333
1134.700000	93565448.273343
1144.700000	95153771.792465
1154.700000	96753414.523824
1164.700000	98364305.582191
1174.700000	99986373.592525
1184.700000	101619546.696529
1194.700000	103263752.559235
1204.700000	104918918.375598
1214.700000	106584970.877116
1224.700000	108261836.338459
1234.700000	109948715.462664
1244.700000	111646851.498385
1254.700000	113355696.830267
1264.700000	115074929.692996
1274.700000	116804724.302650
1284.700000	118543973.708117
1294.700000	120294269.892015
1304.700000	122054635.522346
1314.700000	123825258.940810
1324.700000	125604973.914052
1334.700000	127395462.125128
1344.700000	129195836.997326
1354.700000	131005025.316210
1364.700000	132824776.882721
1374.700000	134654172.450468
1384.700000	136493131.795140
1394.700000	138340529.329893
1404.700000	140198052.128362
1414.700000	142065044.202601
1424.700000	143941112.578204
1434.700000	145825394.465981
1444.700000	147719504.583153
1454.700000	149622594.550489
1464.700000	151534413.938354
1474.700000	153455042.777123
1484.700000	155384225.636746
1494.700000	157322046.326689
1504.700000	159268420.822488
1514.700000	161223086.184228
1524.700000	163185951.133125
1534.700000	165158151.504644
1544.700000	167137524.677239
1554.700000	169124830.939994
1564.700000	171121055.082921
1574.700000	173124153.368128
1584.700000	175136010.567693
1594.700000	177154543.073606
1604.700000	179181674.620216
1614.700000	181216413.994571
1624.700000	183257327.140631
1634.700000	185306595.588561
1644.700000	187363201.438080
1654.700000	189426846.301576
1664.700000	191498623.047781
1674.700000	193576288.574442
1684.700000	195660713.310146
1694.700000	197753243.353521
1704.700000	199851137.130842
1714.700000	201956751.665607
1724.700000	204068770.504032
1734.700000	206187328.046525
1744.700000	208312335.603298
1754.700000	210443234.072094
1764.700000	212581693.321042
1774.700000	214724798.813077
1784.700000	216875061.629221
1794.700000	219031331.913591
1804.700000	221193272.878295
1814.700000	223360787.713285
1824.700000	225534032.012633
1834.700000	227712661.300891
1844.700000	229897965.166487
1854.700000	232088741.913204
1864.700000	234284376.805554
1874.700000	236485295.156141
1884.700000	238691407.245663
1894.700000	240903524.693130
1904.700000	243119215.573486
1914.700000	245341009.096841
1924.700000	247567643.964088
1934.700000	249798469.687584
1944.700000	252035443.265728
1954.700000	254277000.385369
1964.700000	256522475.145045
1974.700000	258772343.577680
1984.700000	261026222.728802
1994.700000	263285565.856863
2004.700000	265549044.859755
2014.700000	267816269.093974
2024.700000	270087141.169710
2034.700000	272363463.842248
2044.700000	274642957.657793
2054.700000	276926451.694844
2064.700000	279212922.385028
2074.700000	281504534.825740
2084.700000	283799265.094400
2094.700000	286097016.158212
2104.700000	288399684.368252
2114.700000	290705206.068269
2124.700000	293013484.450558
2134.700000	295324755.192456
2144.700000	297640305.746989
2154.700000	299958687.206280
2164.700000	302280862.693536
2174.700000	304603959.976790
2184.700000	306931365.636834
2194.700000	309262674.694441
2204.700000	311594274.535651
2214.700000	313931744.693550
2224.700000	316269319.392585
2234.700000	318610482.103363
2244.700000	320953714.497154
2254.700000	323298565.162488
2264.700000	325647141.635707
2274.700000	327999018.243690
2284.700000	330350790.262949
2294.700000	332705698.667631
2304.700000	335064056.858758
2314.700000	337421655.378865
2324.700000	339784060.226234
2334.700000	342145902.628367
2344.700000	344510900.429430
2354.700000	346878607.414401
2364.700000	349247023.244881
2374.700000	351616450.648493
2384.700000	353988761.300427
2394.700000	356361532.146281
2404.700000	358737050.953855
2414.700000	361113276.492195
2424.700000	363489715.249112
2434.700000	365868281.072475
2444.700000	368249740.536977
2454.700000	370630770.234043
2464.700000	373012530.396623
2474.700000	375396145.346904
2484.700000	377781978.202031
2494.700000	380165847.512898
2504.700000	382553431.446177
2514.700000	384940964.499541
2524.700000	387327928.865527
2534.700000	389717213.219940
2544.700000	392105779.114494
2554.700000	394496101.397541
2564.700000	396888127.065454
2574.700000	399279215.210945
2584.700000	401669728.833988
2594.700000	404064356.987533
2604.700000	406455668.725012
2614.700000	408847900.740211
2624.700000	411241917.095965
2634.700000	413637209.039283
2644.700000	416031054.110752
2654.700000	418424305.288762
2664.700000	420818168.296897
2674.700000	423213059.045046
2684.700000	425606687.025206
2694.700000	428001222.628979
2704.700000	430394357.916472
2714.700000	432788766.981316
